id	TCGA-04-1514-01A	TCGA-04-1516-01A	TCGA-04-1530-01A	TCGA-04-1536-01A	TCGA-04-1542-01A
ELMO2	0.565729166667	-0.4186875	-0.3256875	1.0155625	-0.355020833333
CREB3L1	0.017333333333299998	-0.895666666667	0.779083333333	-0.26241666666700003	-0.0996666666667
RPS11	-0.14775	0.695125	-0.958875	-0.150875	0.434375
PNMA1	2.55	-1.25425	0.2995	-0.40425	0.21975
MMP2	0.0835	-1.6965	1.2538333333299998	-0.5445	0.451833333333
C10orf90	-0.42525	0.0955	-0.35225	-0.10625	-0.2065
ZHX3	-1.12466666667	-1.0798333333299999	-0.426333333333	0.9945	-1.09133333333
ERCC5	-0.35475	0.22675	0.61475	-0.15125	-0.1705
GPR98	0.251125	-1.42325	-0.470375	-1.306	0.119875
RXFP3	-0.3315	-0.0575	-0.10800000000000001	1.1755	0.312
APBB2	-0.38325	-1.53575	0.16925	0.23575	-0.46525
PRO0478	0.134125	0.433875	1.23075	-0.01225	0.06375
KLHL13	1.51325	-1.5845	-2.36175	-1.6285	-2.415
PRSSL1	0.547666666667	-0.3435	0.21616666666700002	0.3635	-0.086
PDCL3	0.1725	-0.120166666667	0.130166666667	0.38	-0.3695
DECR1	-0.74825	-1.353375	-0.481125	-0.342625	-1.023375
SALL1	1.7685	-0.636333333333	-0.456	-1.868	-1.5659999999999998
CADM4	0.0338333333333	-0.233	-0.4345	0.26183333333299996	-0.522666666667
RPS18	0.1795	1.1082142857100001	-0.362071428571	-0.04471428571430001	1.8488571428599998
HNRPD	0.6389	-1.94718333333	-0.09443333333329999	-1.13635	-0.4371
CFHR5	-0.33566666666699996	-0.0721333333333	-0.22016666666700002	0.272166666667	-0.37
SLC10A7	-0.35775	-0.552	0.19125	-0.256	-0.46775
OR2K2	-0.604	0.19899999999999998	-0.235	0.0285	-1.7295
LMAN1	-0.5820000000000001	-0.2555	-0.212625	-0.1145	-0.02325
SUHW1	-0.39425	0.05725	1.47925	0.99375	0.652
CHD8	0.460423076923	1.11562307692	-0.159776923077	0.856323076923	0.365123076923
SUMO1	-0.128	0.4417	0.1707	0.4263	0.5557
GP1BA	-0.36409230769199996	-0.198692307692	0.08180769230769999	-0.0387923076923	-0.240992307692
DDB1	0.09775	0.554583333333	-0.26891666666700004	0.947083333333	-1.0174166666700002
MYO9B	0.4953	0.6281	0.5756	0.5567	0.4649
MMP7	0.25565	0.1944	0.7419	2.23415	0.31965
CRNKL1	1.067325	-0.903675	-0.643675	-0.37555	0.935575
C9orf45	1.56833333333	0.1655	0.8525	0.333166666667	0.243
XAB2	0.6855	-0.53175	-0.647625	0.80475	-0.654625
RTN1	0.17300000000000001	-0.83025	-0.508375	-0.63425	-1.403
KLHL14	3.591125	3.27875	3.41625	2.826	3.932
TBX10	-0.1095	0.526	0.0835	0.3605	-0.0255
CENPQ	0.127	-0.506	-0.15725	-0.33399999999999996	-0.27075
UTY	-0.0835	-0.4345	-0.132785714286	-0.177142857143	-0.138071428571
ZBTB12	0.29516666666700003	0.123666666667	0.179666666667	0.637666666667	0.40966666666699997
DTNBP1	-0.0745	-0.185	1.412125	0.034875	-1.275375
KBTBD8	-0.7276666666670001	-1.6743333333300001	-1.143	-1.6995	-2.58166666667
ZEB1	-1.5513333333300001	-1.766	0.015666666666700003	-1.182	-1.8765
ZG16	0.4665	-0.25	-0.26525	0.29600000000000004	0.34475
MIER1	-0.4209	-0.4346	-0.0768	0.4276	-0.7572
ADAM5P	0.2345	0.866	-0.5635	-0.5475	0.027000000000000003
CHD9	-0.478616071429	-0.0691160714286	-0.149116071429	-0.12624107142899998	0.43800892857100004
STK16	0.073	-0.49975	-0.63	-1.2855	1.253
KIAA1486	-0.483	0.193	-0.163	0.1305	-0.4175
TOB2	-0.7953333333329999	0.326166666667	-0.22075	0.4305	0.398083333333
BANK1	-2.9955	1.90875	-2.039	-3.2405	1.60025
OR2V2	0.1219	-0.1581	-0.0186	-0.22885	-0.04885
GRM2	-0.05433333333330001	-0.05983333333330001	-0.20933333333299997	0.41233333333300004	0.187
PROSC	-0.43475	-0.43725	-1.43475	0.205875	0.128375
SPIN2B	0.55	-0.16725	-0.09675	-0.23800000000000002	-1.00675
PIR	-0.9033333333329999	1.29588888889	-1.05922222222	0.978555555556	-1.1714444444399998
IPO9	0.2423	0.1985	-0.2066	1.1387	0.2795
EVC	-0.17883333333299997	-0.7190000000000001	1.183	0.377833333333	-0.493
CXCL13	-1.87920833333	-1.307375	1.870125	-1.609875	-1.90054166667
KIAA1199	0.642953846154	0.346153846154	1.10885384615	0.201653846154	1.3548538461500002
SORL1	-0.70075	1.9325	0.8240000000000001	-0.31475	1.41525
NAT10	0.63625	0.0905	0.0755	-0.57275	-0.031
CHD1	0.6864	-0.8726	0.25065	-0.57735	-1.20085
SYN3	-0.5579	0.00985	-0.49965	-0.5569	0.3401
SLC22A2	0.6275	0.11900000000000001	0.132	-0.5995	-0.00525
SERPINF1	-2.20166666667	-2.1956666666699998	1.16866666667	-1.1236666666700001	-2.29783333333
WDR34	0.1255	1.13225	0.19425	0.41725	-0.23075
OR7A17	0.11125	-0.1665	-0.31525	0.11375	0.19725
C9orf11	-0.0605	-0.0515	0.0105	-0.3035	-0.282
RNF216L	-0.2236	0.4817	0.1386	-0.3735	0.6142
LHB	-0.32299999999999995	-0.1105	0.441	0.506	0.289
STK25	0.0	-0.228625	-0.067875	0.08425	0.720875
TAOK3	-1.239375	-0.53675	-1.465875	0.2445	-2.356
LOC152573	-0.5258	-1.0858	-1.28005	-1.1818	-1.03055
C3orf39	-0.149	0.21575	-0.141375	-0.11725	-0.48
C14orf108	0.7277	-0.5396	-1.0999	-0.3873	-0.8595
CDC25B	0.0800909090909	0.10463636363600001	-0.306090909091	-0.213	-1.19790909091
BMP3	0.0765	-0.027999999999999997	-0.271	0.4245	-0.374
TMEM180	-0.165	-0.1675	-0.341	0.077	0.0415
MAP1LC3C	-0.2405	-0.45225	-0.06675	-0.06475	-0.02575
CRYGC	0.5605	0.376	0.8875	0.54	1.131
POU3F1	0.5033	0.0377	-0.1766	0.2452	0.1374
C20orf32	-0.2095	0.3185	-0.086	0.01	-0.466
CCDC95	-0.209	0.07	0.4665	0.7035	0.633
HIGD1B	-0.11725	-1.791	-1.00175	-0.48425	-0.36175
USP6NL	1.375	-0.329625	0.34675	-0.32875	0.770125
