id	TCGA-04-1514-01A	TCGA-04-1516-01A	TCGA-04-1530-01A	TCGA-04-1536-01A	TCGA-04-1542-01A
16G2	1.9854	0.2459	0.5643	-0.1459	0.6044
214K23.2	-0.3631	-0.10300000000000001	-0.3043	-0.07715	-0.4505
44050	0.1214	-0.0622	-0.1035	-0.1719	0.3295
5-OPase	-0.3845	0.2894	-0.3072	0.031	0.3949
6a8b	-0.3981	-0.2478	-0.0253	-0.4068	-0.0465
A121/SUI1	-0.3678	-0.0928	0.1525	-0.3501	-0.5309
A18hnRNP	-1.1519	-0.6262	-0.3035	-0.9961	-0.5782
A1BG	0.0425	-0.1247	-0.3059	-0.068	-0.0726
A1CF	0.1218	0.2672	0.1026	-0.2142	0.3563
A26B1	-0.8561	-1.4909999999999999	-0.2776	-0.4964	-0.3389
A26B2	-0.3599	0.3129	-0.1001	0.1135	0.7804
A26C1A	-0.2582	0.3681	0.0107	0.4027	0.3646
A26C2	0.2773	0.3658	0.221	0.2538	0.0084
A26C3	-0.0253	0.3486	0.1652	0.3392	-0.4606
A2BP1	0.0746	-0.6646	0.0173	-0.3692	0.5491
A2LD1	-0.3703	-0.5748	0.3101	-0.3112	0.0052
A2LG	0.1015	-0.083	0.0173	0.0347	0.4174
A2M	0.0723	0.5326	0.0525	0.9833	0.5921
A2ML1	0.0723	0.5326	0.0525	0.9833	0.5921
A3GALT2	-0.1738	-0.0985	0.0941	-0.3285	-0.5359
A4GALT	-1.1651	-0.1518	-0.2982	-1.072	-0.5697
A4GNT	-0.3548	0.7269	0.5134	0.2635	0.2006
AAA1	-0.32799999999999996	0.2823	-0.017	0.0397	0.3516
AAAS	0.1091	-0.0872	0.2899	0.2406	-0.4478
AACS	0.0721	0.2676	0.1731	0.2566	-0.5177
AADAC	-0.3379	0.7269	0.5134	0.2678	0.4001
AADACL1	0.4588	0.8396	0.5643	0.2676	0.5782
AADACL2	-0.3379	0.7269	0.5134	0.2678	0.4001
AADACL3	-0.1869	0.2868	0.4519	-0.2449	-0.5501
AADACL4	-0.1869	0.2868	0.4519	-0.2449	-0.5501
AADAT	-0.3573	-0.5807	0.1518	-0.9056	-0.4025
AAG1	-0.3786	-0.0899	-0.1314	-0.9749	-0.465
AAG4	-0.3516	-0.6794	-0.6553	-0.3016	0.0412
AAK1	0.0389	-0.0726	0.0536	-0.0184	0.0073
AAMP	0.1984	0.2864	-0.0126	-0.9274	0.3317
AANAT	0.0968	-0.0921	0.1525	0.3114	-0.5258
AARS	0.1015	-0.665	-0.1822	0.0464	0.3368
AARS2	0.10800000000000001	0.0809	0.1148	0.2376	-0.0521
AARSD1	-0.3392	-0.0928	0.1525	-0.3501	-0.5309
AASDH	-0.33299999999999996	-0.6732	0.0256	-0.3072	-0.4331
AASDHPPT	-0.3158	0.2633	-0.057999999999999996	-0.8992	0.0868
AASS	0.4892	0.5781	-0.0203	1.0313	0.3624
AAT1	-0.3381	0.2667	-0.0104	0.1937	0.2006
AATF	-0.3836	-0.0928	-0.2934	-0.3696	-0.5309
AATK	1.0033	-0.0921	0.1525	0.3273	-0.5258
AB000464	-0.4286	-0.7057	0.1622	-0.3419	-0.5417
AB000465	-0.4286	-0.7057	0.1622	-0.3419	-0.5417
AB000466	-0.4286	-0.7057	0.1622	-0.3419	-0.5417
AB004851	0.4254	0.5457	-0.05	0.1893	-0.0146
AB007962	0.2649	0.5329	0.2494	0.2242	0.3037
AB019391	0.1218	-0.0658	0.1449	-0.1822	0.366
AB053312	0.1984	0.3743	-0.0126	0.1868	0.365
AB073349	0.3463	0.4954	-0.05	0.6391	-0.0982
AB073649	-0.3516	-0.0352	0.13	0.2012	-0.5047
AB073658	-0.3653	-0.0972	-0.1719	-0.3381	-0.4442
AB073667	-0.32799999999999996	-0.0951	-0.017	0.0397	0.3516
AB074160	0.1583	0.2581	-0.017	0.4457	0.3424
AB074162	0.0851	0.2368	-0.0114	0.2598	-0.4837
AB074166	0.2649	0.5329	0.2494	0.2242	0.3037
AB074188	0.1234	-0.0692	-0.0078	-0.371	-0.4346
AB086839	-0.3808	-0.1324	-0.2885	-0.0602	-0.5316
AB091368	-0.3808	-0.1324	-0.2885	-0.0602	-0.5316
AB209061	0.1015	-0.083	0.0173	0.0347	0.4174
AB209077	-0.3548	0.7269	0.4635	0.2531	0.2006
AB209185	-0.3296	-0.1186	0.2916	0.3231	0.6701
AB209386	-0.044000000000000004	-0.1154	-0.4084	-0.2946	0.0328
AB209467	0.0213	0.6722	-0.0114	-0.5491	-0.5823
AB209575	0.4984	0.7899	0.113	0.298	0.7448
AB209692	-0.3351	0.198	0.006999999999999999	0.1596	0.2908
AB231702	-0.3351	0.198	0.006999999999999999	0.1596	-1.1098
AB231703	-0.9701	0.5571	0.006999999999999999	0.1596	0.2908
AB231705	-0.3446	0.2846	-0.057999999999999996	-0.366	0.0452
AB231710	0.8461	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231711	0.8461	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231712	0.8461	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231714	-0.3423	0.1288	0.006999999999999999	-0.9526	-0.4225
AB231715	-0.3423	0.1288	0.006999999999999999	-0.9526	-0.4225
AB231716	-0.3423	0.1288	0.006999999999999999	-0.9526	-0.4225
AB231717	-0.3423	0.1288	0.006999999999999999	-0.9526	-0.4225
AB231718	0.6637	0.5571	0.006999999999999999	0.2115	0.5801
AB231721	-0.3351	0.198	0.006999999999999999	0.0431	-1.1098
AB231722	-0.3351	0.198	0.006999999999999999	-0.9148	-1.1098
AB231723	-1.19365	0.2633	-0.057999999999999996	-3.62295	0.0653
AB231724	-0.32299999999999995	0.3558	-0.057999999999999996	0.0734	0.0941
AB231729	-0.3351	0.198	0.006999999999999999	0.1596	-1.1098
AB231731	-0.3351	0.198	0.006999999999999999	0.1596	-1.1098
AB231737	-0.3251	0.1288	0.006999999999999999	-0.9129	-0.9338
AB231740	-0.3351	0.198	0.006999999999999999	0.0431	-1.1098
AB231742	-0.3351	0.198	0.006999999999999999	0.0431	-1.1098
AB231751	-0.3351	0.5571	0.006999999999999999	0.1596	0.2908
AB231752	-0.3351	0.5571	0.006999999999999999	0.1596	0.2908
AB231754	0.3742	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231755	0.3742	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231756	0.3742	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231757	0.3742	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231758	0.3742	0.2846	-0.057999999999999996	-0.366	-0.0123
AB231759	0.1288	-0.0963	0.006999999999999999	-0.945	-0.4225
AB231760	0.1288	-0.0963	0.006999999999999999	-0.945	-0.4225
AB231761	-0.3351	0.198	0.006999999999999999	0.1596	-1.1098
AB231769	-0.3786	-0.0899	-0.1314	-0.9749	-0.465
AB231771	-0.3786	-0.0899	-0.1314	-0.9749	-0.465
AB231772	-0.3786	-0.0899	-0.1314	-0.9749	-0.465
AB231779	-0.3262	0.0236	-0.2891	-0.8859	-0.4067
AB231784	0.7041	0.2553	-0.057999999999999996	0.2981	0.8458
AB240015	-0.41	-0.2478	0.0744	-0.35700000000000004	-0.0308
AB429224	-0.3351	0.5571	0.006999999999999999	0.1596	0.2908
ABAT	0.0746	-0.6646	0.0173	-0.3692	0.5491
ABBA-1	0.1015	-0.665	-0.1822	0.0464	0.3368
ABCA1	0.1461	-0.0937	0.0038	0.355	-0.4837
ABCA10	0.0968	-0.0921	0.1525	0.3822	-0.5258
ABCA12	0.1984	0.2864	-0.0126	-0.9274	0.3317
ABCA13	-0.3115	0.2953	-0.017	0.0397	0.3516
ABCA17P	0.0746	-0.6646	0.0173	-0.3731	0.5491
ABCA2	0.0851	0.6722	-0.0114	-1.0917	-0.5823
ABCA3	0.0746	-0.6646	0.0173	-0.3731	0.5491
ABCA4	-0.0948	0.3901	-0.1519	0.3431	-0.413
ABCA4 variant protein	-0.0948	0.3901	-0.1519	0.3431	-0.413
ABCA5	0.0968	-0.0921	0.1525	0.3822	-0.5258
ABCA6	0.0968	-0.0921	0.1525	0.3822	-0.5258
ABCA7	-1.1519	-0.6262	-0.3035	-0.9961	-0.5782
ABCA7/ABCA-SSN	-1.1519	-0.6262	-0.3035	-0.9961	-0.5782
ABCA8	0.0968	-0.0921	0.1525	0.3822	-0.5258
ABCA9	0.0968	-0.0921	0.1525	0.3822	-0.5258
ABCB1	0.5016	0.2722	-0.0043	0.7939	0.3782
ABCB10	0.2805	0.2687	0.0931	-0.2744	0.7663
ABCB11	0.1282	0.579	-0.0126	0.1868	0.3494
ABCB4	0.5016	0.2722	-0.0043	0.7939	0.3782
ABCB5	-0.3203	-0.1035	-0.1468	-0.2557	0.3659
ABCB6	0.1984	0.2864	-0.0126	-0.9274	0.3317
ABCB8	0.4605	0.9874	0.0289	0.9034	0.287
ABCB9	0.0721	-0.0843	0.1731	0.2566	-0.5177
ABCC1	0.0746	-0.083	0.0173	0.064	0.5491
ABCC10	0.10800000000000001	0.0809	0.1148	0.2376	-0.0521
ABCC11	0.1015	-0.083	-0.1701	-0.3489	0.4174
ABCC12	0.1015	-0.083	-0.1701	-0.3489	0.4174
ABCC13	0.4254	0.1966	0.12	0.1893	-0.4113
ABCC2	0.1214	-0.0622	-0.1035	-0.1719	0.3295
ABCC3	0.4261	-0.0832	0.1525	-0.3335	-0.5258
ABCC4	-0.34	-0.5748	0.4123	-1.02995	0.0052
ABCC5	1.0456	0.2459	0.5643	-0.1459	0.6044
ABCC6	0.0746	-0.083	0.0173	0.064	0.5491
ABCC8	-0.3786	-0.0899	-0.1314	-0.9749	-0.4929
ABCC9	0.1309	0.7181	0.0944	0.9767	0.6128
ABCD2	0.1294	0.5156	0.2308	0.2973	-0.15615
ABCD3	-0.0948	0.3901	-0.1519	0.3431	-0.413
ABCD4	0.4121	-0.6246	-0.1938	0.1118	-0.4765
ABCE1	-0.3301	-0.6009	0.5213	0.1409	-0.391
ABCF1	0.0526	0.0273	0.0708	0.2531	0.2614
ABCF2	0.4605	0.9874	0.0289	0.9034	0.287
ABCF3	1.0456	0.2459	0.5643	-0.1459	0.6044
ABCG1	0.3463	0.508	-0.05	0.6391	-0.0982
ABCG2	-0.3295	-0.6317	-0.3569	-0.9181	-0.4295
ABCG4	0.3742	0.2846	-0.057999999999999996	-0.366	-0.0123
ABCG5	0.0102	-0.0783	0.0041	0.0139	-0.0148
ABCG8	0.0102	-0.0783	0.0041	0.0139	-0.0148
ABH8	-0.3446	0.2846	-0.057999999999999996	-0.8743	0.0868
ABHD1	0.0081	-0.0808	0.0983	-0.3062	0.0007
ABHD10	-0.3381	0.2667	-0.0104	0.1735	0.2006
ABHD11	0.4654	0.2722	-0.0043	0.8641	0.3782
ABHD12	0.4228	0.1098	-0.0339	0.4516	0.5777
ABHD12B	0.4438	0.7996	-0.171	0.0963	-0.4596
ABHD13	-0.4127	-0.5818	0.3101	-0.3376	0.0018
ABHD14A	-0.3978	0.2671	-0.0059	-1.0197	-0.496
ABHD14B	-0.3978	0.2671	-0.0059	-1.0197	-0.496
ABHD2	-0.4099	-0.2478	0.0744	-0.35700000000000004	-0.0308
ABHD3	0.1168	0.3129	-0.1001	0.1507	0.3684
ABHD4	0.4504	0.3658	-0.1679	0.4308	0.0417
ABHD5	-0.4012	0.531	-0.0059	-0.3261	-0.4556
ABHD6	-0.3824	0.2671	-0.0059	0.2347	-0.496
ABHD7	-0.0948	-0.0848	-0.1519	0.3431	-0.413
ABHD8	0.6258	0.7842	0.113	0.3144	0.6652
ABHD9	0.6258	0.7842	0.113	-0.0229	0.6652
ABI1	0.1037	-0.087	0.2222	0.0568	0.3483
ABI2	0.1984	0.3743	-0.0126	-0.9274	0.365
ABI3	0.4508	-0.0832	0.1525	-0.3452	-0.5258
ABI3BP	-0.3138	0.2617	-0.0104	0.1735	0.2006
ABL1	0.0851	-0.21100000000000002	-0.0114	-0.3899	-0.4837
ABL2	0.2805	0.3896	0.0931	0.7946	0.2999
ABLIM1	0.1214	-0.0622	-0.1035	0.1726	0.3295
ABLIM2	-0.4286	-0.7568	0.1622	-0.3661	-0.5373
ABLIM3	0.1204	-0.0879	-0.135	0.0609	-0.4732
ABO	0.0851	-0.21100000000000002	-0.0114	-1.0917	-0.5823
ABP1	0.4605	0.9874	0.0289	0.9034	0.287
ABR	-0.4332	-0.1143	-0.2934	-0.3953	-0.5681
ABRA	-0.3296	-0.6621	0.1612	0.3231	0.6706
ABS	0.0954	0.9521	-0.2757	0.0393	-0.0318
ABT1	0.0865	0.0487	0.6039	0.2666	0.2962
ABTB1	-0.4132	0.2667	0.3507	0.1937	0.2006
ABTB2	0.1288	-0.0963	0.006999999999999999	-0.945	-0.4225
ACAA1	0.11699999999999999	0.531	-0.0059	-0.3261	-0.4556
ACAA2	0.126	0.3147	-0.1001	-0.2743	0.0251
ACACA	-0.3836	-0.0928	-0.2934	-0.3696	-0.5309
ACACB	0.0859	0.2982	0.1731	0.3308	-0.4676
ACAD10	0.0859	-0.0843	0.1731	0.3308	-0.4676
ACAD11	-0.3548	0.7269	0.4635	0.2531	0.2006
ACAD8	-1.193	-0.6707	-0.1924	-0.3624	0.0179
ACAD9	-0.3548	0.2667	0.3958	0.1843	0.2006
ACADL	0.1984	0.3743	-0.0126	-0.9274	0.3565
ACADM	-0.0992	-0.0848	-0.1492	0.3431	-0.4
ACADS	0.0721	-0.0843	0.1731	0.2566	-0.5177
ACADSB	0.0728	-0.0753	-0.1035	0.1726	0.3295
ACADVL	-0.4332	-0.1143	-0.2934	-0.3953	-0.5419
ACAN	-0.4099	-0.2478	0.0744	-0.35700000000000004	-0.0308
ACAP1	-0.4332	-0.1143	-0.2934	-0.3953	-0.5419
ACAP2	-1.1833	0.2325	0.5643	-0.1472	0.5644
ACAP3	-0.1869	0.2868	0.4519	-0.924	-0.56
ACAT1	-0.3446	0.2846	-0.057999999999999996	-0.8743	0.0452
ACAT2	0.1091	-0.0872	0.2899	0.2406	-0.4478
ACBD3	0.2805	0.2895	0.0931	-0.2744	0.7663
ACBD4	-0.3776	-0.0928	0.1525	-0.3555	-0.5292
ACBD5	0.1037	-0.087	0.2222	0.0568	0.3483
ACBD6	0.2805	0.3896	0.0931	0.6552	0.3109
ACBD7	0.1003	-0.0911	0.2222	-0.0008	0.3483
ACCN1	-0.4204	-0.0928	-0.2934	-0.3699	-0.5309
ACCN2	0.1294	-0.0872	0.2899	0.2406	-0.4478
ACCN3	0.4605	0.9874	0.0289	0.9034	0.287
ACCN4	0.1984	0.2864	-0.0126	-0.9274	0.3317
ACCN5	-0.3177	-1.7424	0.2102	-0.9234	-0.4605
ACCS	-0.3423	-0.0899	0.006999999999999999	-0.3732	-0.4225
ACCSL	-0.3423	-0.0899	0.006999999999999999	-0.3732	-0.4225
ACD	0.1015	-0.665	-0.1822	0.0464	0.3368
ACE	0.0968	0.5979	0.1525	-0.3525	-0.5258
ACER1	0.6074	-0.6262	-0.3035	0.0076	-0.5782
ACER2	0.0971	0.7927	-0.0998	-0.2253	-0.4275
ACER3	0.6637	0.5571	0.006999999999999999	0.2115	0.5801
ACHE	0.465	0.2751	-0.0043	0.6762	0.3624
ACID1	-0.3808	-0.1324	-0.2936	0.06	-0.5316
ACID2	-0.3808	-0.1324	-0.2936	0.06	-0.5316
ACIN1	0.4504	0.3658	-0.1679	0.4308	0.0417
ACLY	-0.3678	-0.0928	0.1525	-0.3501	-0.5309
ACMSD	-0.2268	0.3681	-0.018000000000000002	0.4027	0.3646
ACN9	0.465	0.303	-0.0043	0.7939	0.3782
ACO1	0.1252	0.3912	-0.1259	-0.2145	-0.414
ACO2	-1.1651	-0.1518	-0.2982	-0.3906	-0.5152
ACOT1	0.4121	-0.6246	-0.1938	0.1118	-0.4765
ACOT11	-0.1387	-0.0765	0.0941	0.1646	-0.4543
ACOT12	0.1234	-0.65	-0.135	-0.3825	-1.2369
ACOT2	0.4121	-0.6246	-0.1938	0.1118	-0.4765
ACOT4	0.4121	-0.6246	-0.1938	0.1118	-0.4765
ACOT6	0.4121	-0.6246	-0.1938	0.1118	-0.4765
ACOT7	-0.1869	0.2868	0.4519	-0.2449	-0.56
ACOT8	0.4228	0.2783	0.0037	0.0622	-0.0709
ACOX1	0.0968	-0.0921	0.1525	0.3114	-0.5258
ACOX2	-0.3824	0.2671	-0.0059	0.2347	-0.496
ACOX3	-0.4286	-0.44585	0.1622	-0.3661	-0.5373
ACOXL	0.0251	-0.1065	0.1405	0.3544	-0.0084
ACP1	-0.044000000000000004	-0.1154	-0.4084	-0.2946	0.0378
